Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"8611-1","Bionicle","Matoran",2004,"Orkahm",,27,2.99,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,22.6900,6.7900,"",""
"8612-1","Bionicle","Matoran",2004,"Ehrye",,30,2.99,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.0000,6.7600,"",""
"8613-1","Bionicle","Accessories",2004,"Kanoka Disk Launcher Pack",,4,1.49,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.2000,9.6800,"",""
"8614-1","Bionicle","Vahki",2004,"Nuurakh",,32,5.99,9,,,5702014362543,673419033374,10.2,19,8.8,,"",0,0,0,,0,0,,,,,,,,,35.4300,7.8000,"20/07/2004","31/07/2005"
"8615-1","Bionicle","Vahki",2004,"Bordakh",,32,5.99,9,,,5702014364578,673419033633,10.2,19,8.8,,"",0,0,0,,0,0,,,,,,,,,35.3600,8.6300,"20/07/2004","31/07/2005"
"8616-1","Bionicle","Vahki",2004,"Vorzakh",,32,5.99,9,,,,673419033640,10.2,19,8.8,,"",0,0,0,,0,0,,,,,,,,,23.3400,8.3300,"20/07/2004","31/07/2005"
"8617-1","Bionicle","Vahki",2004,"Zadakh",,32,5.99,9,,,,673419033657,10.2,19,8.8,,"",0,0,0,,0,0,,,,,,,,,32.1400,8.1000,"20/07/2004","31/07/2005"
"8618-1","Bionicle","Vahki",2004,"Rorzakh",,32,5.99,9,,,,673419033664,10.2,19,8.8,,"",0,0,0,,0,0,,,,,,,,,44.0200,8.8500,"20/07/2004","31/07/2005"
"8619-1","Bionicle","Vahki",2004,"Keerakh",,32,5.99,9,,,,673419033671,10.2,19,8.8,,"",0,0,0,,0,0,,,,,,,,,59.5900,8.5500,"20/07/2004","31/07/2005"
"8621-1","Bionicle","Warriors",2004,"Turaga Dume and Nivawk",,179,14.99,19.99,,,5702014364622,,24,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,48.7500,36.2300,"01/07/2004","30/11/2005"
"8622-1","Bionicle","Warriors",2004,"Nidhiki",,170,14.99,20,,,,673419033695,24,28.8,6,,"",0,0,0,,0,0,,,,,,,,,200.0000,39.4200,"01/07/2004","30/11/2005"
"8623-1","Bionicle","Warriors",2004,"Krekka",,203,14.99,20,,,5702014364646,673419033701,24,28.8,6,,"",0,0,0,,0,0,,,,,,,,,114.9600,43.0700,"01/07/2004","30/11/2005"
"8711-1","Bionicle","Accessories",2004,"The Ultimate BIONICLE Set",,702,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,323.4100,,"",""
