Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10559-1","Duplo","",2013,"A Fairy Tale",,15,9.99,12.99,15.99,,5702015061148,673419201889,21.2,20.3,7.1,0.21,"",0,0,0,,0,0,,,,,,,,,15.0000,7.6800,"",""
"10560-1","Duplo","",2013,"Peekaboo Jungle",,13,9.99,12.99,15.99,,5702015061162,673419201896,21.2,20.3,7.1,0.2,"",0,0,0,,0,0,,,,,,,,,14.8900,10.5100,"",""
"10561-1","Duplo","",2013,"Toddler Starter Building Set",,37,17.99,19.99,19.99,,5702014973374,673419190879,19.1,26.1,12.8,0.74,"",0,0,0,,0,0,,,,,,,,,26.0000,7.0800,"",""
"10655-1","Bricks and More","",2013,"LEGO Monster Trucks",3,197,14.99,19.99,24.99,,5702014972292,673419190046,26.2,19.1,7.2,0.45,"",0,0,0,,0,0,,,,,,,,,28.3200,17.0000,"01/01/2013","31/12/2013"
"10656-1","Bricks and More","",2013,"My First LEGO Princess",1,88,6.99,9.99,12.99,,5702014972308,673419190152,15.7,14.1,6.1,0.15,"",0,0,0,,0,0,,,,,,,,,9.7600,7.9800,"",""
"10657-1","Bricks and More","",2013,"My First LEGO Set",1,148,9.99,14.99,19.99,,5702014972315,,19.1,14.7,12.8,,"",0,0,0,,0,0,,,,,,,,,12.8100,13.6300,"01/01/2013","31/12/2013"
"10659-1","Bricks and More","",2013,"LEGO® Blue Suitcase",2,146,19.99,24.99,29.99,24.99,5702014972322,673419215206,28.5,26.2,6.4,0.79,"",0,0,0,,0,0,,,,,,,,,52.2400,7.5000,"01/01/2013","31/12/2014"
"10660-1","Bricks and More","",2013,"LEGO® Pink Suitcase",2,151,19.99,24.99,29.99,,5702014972339,673419215213,28.5,26.2,6.4,0.8,"",0,0,0,,0,0,,,,,,,,,17.0800,19.2600,"01/01/2013","31/12/2014"
"10661-1","Bricks and More","",2013,"My First LEGO Fire Station",1,90,6.99,9.99,12.99,,5702014972476,673419190190,15.7,14.1,6.1,0.16,"",0,0,0,,0,0,,,,,,,,,23.0200,3.7200,"",""
"10662-1","Bricks and More","",2013,"LEGO Creative Bucket",,607,19.99,29.99,39.99,,5702014972490,673419190206,22.7076,27.7114,22.7076,1.01,"",0,0,0,,0,0,,,,,,,,,49.9900,29.1300,"01/01/2013","31/12/2014"
"10663-1","Bricks and More","",2013,"Creative Chest",3,609,39.99,,,,5702014972506,,41,19.5,28,,"",0,0,0,,0,0,,,,,,,,,71.8200,44.1200,"01/06/2013","31/12/2013"
"10664-1","Bricks and More","",2013,"Creative Tower",,1600,49.99,,,,5702014972513,673419190220,,,,2.34,"",0,0,0,,0,0,,,,,,,,,85.0000,43.5100,"",""
"10937-1","DC Comics Super Heroes","Batman",2013,"Batman: Arkham Asylum Breakout",8,1619,129.99,159.99,209.99,,5702014973398,,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,205.8100,180.8800,"01/01/2013","31/12/2014"
"11900-1","City","Book Parts",2013,"Brickmaster City parts",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11901-1","Ninjago","Book Parts",2013,"Brickmaster Ninjago parts",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11902-1","Friends","Book Parts",2013,"Brickmaster Friends: Treasure Hunt in Heartlake City parts",2,95,18.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.1100,11.5000,"",""
"11903-1","Ninjago","Book Parts",2013,"Brickmaster Ninjago: Fight the Power of the Snakes parts",,156,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.9900,5.0000,"",""
"11904-1","Legends of Chima","Book Parts",2013,"Brickmaster Legends of Chima: The Quest for CHI parts",2,187,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.0300,4.0000,"",""
"11905-1","Star Wars","Book Parts",2013,"Brickmaster Star Wars: Battle for the Stolen Crystals parts",2,189,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.2200,17.7500,"",""
"20209-1","Master Builder Academy","",2013,"Time Machine",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"20210-1","Master Builder Academy","",2013,"World Architecture",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"20211-1","Master Builder Academy","",2013,"Inventor's Lab",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"20214-1","Master Builder Academy","",2013,"Adventure Designer",,638,,79.99,,,,673419198592,,,,,"",0,0,0,,0,0,,,,,,,,,109.0000,90.0000,"",""
"20215-1","Master Builder Academy","",2013,"Invention Designer",3,675,,79.99,,,,673419198585,,,,,"",0,0,0,,0,0,,,,,,,,,149.5400,54.9000,"",""
"20216-1","Master Builder Academy","",2013,"Robot & Micro Designer",,383,,49.99,,,,673419201728,,,,,"",0,0,0,,0,0,,,,,,,,,71.9900,53.5100,"",""
"20217-1","Master Builder Academy","",2013,"Action Designer",,576,,79.99,,,,673419201735,,,,,"",0,0,0,,0,0,,,,,,,,,97.7100,90.0700,"",""
"21015-1","Architecture","Landmark Series",2013,"The Leaning Tower of Pisa",,345,29.99,34.99,44.99,34.99,5702014842373,,26.2,19.1,6.1,0.47,"",0,0,0,,0,0,,,,,,,,,154.1700,56.1500,"01/06/2013","31/12/2015"
"21017-1","Architecture","Architect Series",2013,"Imperial Hotel",,1188,99.99,129.99,159.99,119.99,5702014973107,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,170.8200,134.2300,"01/03/2013","31/12/2015"
"21018-1","Architecture","Landmark Series",2013,"United Nations Headquarters",,597,49.99,49.99,59.99,49.99,5702014973114,673419190718,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,122.6700,72.3900,"01/10/2013","31/12/2015"
"21021-1","Architecture","Landmark Series",2013,"Marina Bay Sands",,602,,,,,5702015161077,,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,1053.2400,504.5800,"01/12/2013","31/12/2013"
"21050-1","Architecture","Miscellaneous",2013,"Studio",,1210,159.99,159.99,,159.99,5702015342582,673419202459,,,,2.72,"",0,0,0,,0,0,,,,,,,,,328.2800,214.3600,"",""
"21103-1","Ideas","Licensed",2013,"The DeLorean Time Machine",2,401,34.99,34.99,44.99,39.99,5702015064835,,26,18.8,6,,"",0,0,0,,0,0,,,,,,,,,128.4800,98.2000,"01/08/2013","31/12/2014"
"21105-1","Minecraft","Micro World",2013,"Micro World - The Village",3,466,29.99,34.99,44.99,,5702015149112,,12.2,14.1,12.2,,"",0,0,0,,0,0,,,,,,,,,59.1400,29.6300,"01/09/2013","31/12/2014"
"21106-1","Minecraft","Micro World",2013,"Micro World - The Nether",3,469,29.99,34.99,44.99,,5702015149129,673419215558,12.2,14.1,12.2,,"",0,0,0,,0,0,,,,,,,,,65.1800,28.0400,"01/09/2013","31/12/2014"
"30066-0","Duplo","",2013,"Circus {Random Bag}",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30066-2","Duplo","",2013,"Circus - Lion Tamer",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30066-3","Duplo","",2013,"Circus - Lion",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30066-4","Duplo","",2013,"Circus - Girl",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30066-5","Duplo","",2013,"Circus - Clown",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30066-6","Duplo","",2013,"Circus - Rabbit",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30106-1","Friends","General",2013,"Ice Cream Stand",1,34,,4.99,,,5702014964044,673419188777,17,17,0.7,0.03,"",0,0,0,,0,0,,,,,,,,,4.1100,3.6500,"01/01/2013","31/12/2013"
"30107-1","Friends","General",2013,"Birthday Party",1,39,,,,,5702014964051,673419188784,17,17,0.6,,"",0,0,0,,0,0,,,,,,,,,6.7600,4.0000,"01/01/2013","31/12/2013"
"30108-1","Friends","Summer",2013,"Summer Picnic",1,33,,,,,5702014964068,673419188791,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,3.9900,3.5000,"01/01/2013","31/12/2013"
"30166-1","DC Comics Super Heroes","Batman",2013,"Robin and Redbird Cycle",1,40,,4.99,,,,673419193979,17,17,0.8,,"",0,0,0,,0,0,,,,,,,,,16.5400,14.8700,"01/01/2013","31/12/2013"
"30167-1","Marvel Super Heroes","The Avengers",2013,"Iron Man vs. Fighting Drone",1,24,,4.99,,,5702014994331,673419193986,17,17,0.4,,"",0,0,0,,0,0,,,,,,,,,18.8800,9.0000,"01/01/2013","31/12/2013"
"30168-1","Marvel Super Heroes","Iron Man 3",2013,"Gun mounting system",1,17,,,,,5702015071352,673419202763,,,,,"",0,0,0,,0,0,,,,,,,,,76.7900,69.4500,"",""
